user_id,amount,created_at
Mary,136.27,2022-11-28 20:31:23
Mary,26.71,2022-08-18 22:13:47
Mary,185.12,2022-11-02 08:50:35
Mary,136.33,2022-08-07 12:09:51
Mary,105.68,2022-12-01 22:33:13
Mary,155.23,2022-07-21 16:25:35
Mary,104.14,2022-12-03 15:51:51
Mary,15.03,2022-07-19 02:16:41
Mary,53.08,2022-08-04 21:16:59
Mary,96.28,2022-08-30 13:33:26
Mary,64.98,2022-09-18 15:15:16
Mary,193.18,2022-12-05 03:07:17
Mary,45.21,2022-08-07 20:35:10
Mary,55.19,2023-01-17 19:13:15
Mary,140.63,2022-09-10 02:29:55
Mary,115.99,2022-08-11 04:33:58
Mary,27.32,2022-07-08 14:40:33
Mary,39.49,2022-08-07 13:52:56
Mary,39.11,2022-11-21 09:44:01
Mary,56.92,2022-09-10 09:28:25
Mary,178.38,2023-01-03 18:02:38
Mary,84.84,2022-07-16 19:28:27
Mary,141.5,2022-12-10 21:15:38
Mary,180.29,2022-12-30 08:21:47
Mary,85.07,2022-08-01 13:34:24
Mary,131.49,2022-11-20 02:09:04
Mary,98.35,2022-09-03 23:41:06
Mary,31.68,2022-08-10 06:18:06
Mary,56.46,2022-07-10 06:07:51
Mary,173.17,2022-11-24 03:07:17
Mary,17.1,2022-12-21 20:16:20
Mary,123.25,2022-11-29 15:18:13
Mary,137.18,2022-10-18 09:53:29
Mary,39.36,2023-01-18 23:24:05
Mary,60.85,2022-10-13 05:41:00
Mary,172.88,2022-11-17 16:37:39
Mary,39.59,2022-07-04 21:11:47
Mary,74.28,2022-12-31 03:20:06
Mary,180.42,2023-01-01 17:41:12
Mary,19.17,2022-09-16 10:02:22
Mary,11.52,2022-10-23 21:51:37
Mary,94.38,2022-11-01 13:01:08
Mary,31.75,2022-12-27 00:47:57
Mary,161.06,2022-12-03 12:28:56
Mary,30.4,2022-11-27 17:48:48
Mary,43.77,2022-09-09 12:50:32
Mary,4.37,2022-12-29 02:41:04
Mary,137.33,2022-08-11 18:01:21
Mary,106.27,2022-10-17 09:28:52
Mary,111.26,2022-11-29 17:36:09
Mary,164.4,2022-09-25 06:38:37
Mary,106.18,2022-10-15 04:03:15
Mary,117.33,2022-12-21 08:47:41
Mary,35.97,2022-07-03 16:39:45
Mary,22.6,2022-08-31 17:37:52
Mary,97.68,2022-07-13 11:55:46
Mary,1.99,2022-07-26 09:53:24
Mary,115.96,2022-10-20 20:53:18
Mary,10.44,2022-10-08 02:58:05
Mary,110.14,2023-01-17 03:06:26
Mary,40.43,2022-10-28 22:11:32
Mary,107.66,2022-11-21 01:10:15
Mary,131.26,2022-08-23 16:03:45
Mary,40.3,2022-11-22 08:03:07
Mary,36.43,2022-07-12 06:49:56
Mary,61.31,2022-07-26 00:38:46
Mary,125.41,2022-11-09 20:11:08
Mary,196.55,2023-01-08 19:51:14
Mary,165.56,2022-07-03 21:34:46
Mary,114.5,2022-09-07 19:15:16
Mary,130.82,2022-11-22 08:20:12
Mary,92.71,2022-10-03 19:02:10
Mary,175.74,2023-01-01 02:22:52
Mary,60.39,2022-07-19 08:13:47
Mary,10.57,2023-01-23 18:33:00
Mary,38.09,2022-08-16 21:24:46
Mary,57.59,2022-12-24 10:00:21
Mary,196.96,2022-09-20 05:33:39
Mary,33.55,2022-07-01 07:28:55
Mary,61.38,2022-07-22 17:57:08
Mary,156.21,2022-12-20 17:37:56
Mary,111.67,2022-09-16 15:37:33
Mary,36.07,2022-09-19 05:11:11
Mary,89.04,2022-11-27 10:13:41
Mary,144.28,2022-12-13 12:27:56
Mary,110.36,2022-08-17 23:37:06
Mary,81.23,2022-07-03 14:28:54
Mary,29.86,2022-12-02 23:59:58
Mary,184.2,2023-01-12 15:20:30
Mary,177.74,2022-12-15 23:53:58
Mary,57.55,2022-11-23 09:02:03
Mary,14.48,2022-09-03 20:45:52
Mary,130.1,2022-08-24 04:08:41
Mary,19.12,2022-11-02 03:29:33
Mary,122.96,2022-10-01 22:58:43
Mary,150.64,2023-01-19 19:07:02
Mary,185.54,2022-12-18 01:36:07
Mary,3.77,2022-09-23 03:15:54
Mary,196.56,2022-10-20 07:08:54
Mary,82.54,2022-08-28 17:29:57
